Model,Dataset,Pretrained,Fold,Accuracy,Best Accuracy
resnet,ESC,True,1,74.75,74.75
resnet,ESC,True,2,74.25,74.25
resnet,ESC,True,3,76.0,76.0
resnet,ESC,True,4,78.5,78.5
resnet,ESC,True,5,74.25,74.25
Model,Dataset,Pretrained,Fold,Accuracy,Best Accuracy
Model,Dataset,Pretrained,Fold,Accuracy,Best Accuracy
densenet,ESC,True,1,71.5,71.5
Model,Dataset,Pretrained,Fold,Accuracy,Best Accuracy
densenet,ESC,True,1,71.5,71.5
Model,Dataset,Pretrained,Fold,Accuracy,Best Accuracy
densenet,ESC,True,1,73.5,73.5
Model,Dataset,Pretrained,Fold,Accuracy,Best Accuracy
densenet,ESC,True,1,69.75,69.75
