Model,Dataset,Pretrained,Fold,Acc,Best Acc,Best Acc - Epoch
densenet,ESC,True,1,91.0,91.5,56
densenet,ESC,True,2,87.25,88.5,57
densenet,ESC,True,3,90.0,90.25,65
densenet,ESC,True,4,91.75,92.75,52
densenet,ESC,True,5,88.0,89.0,68
densenet,ESC,False,1,73.75,78.75,370
